   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
            0.019403,             0.99667,            0.050263,            0.039459,            0.018257,            0.010677,            0.085938,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057309,             0.76489,              0.1984,              27.845,              0.5652,             0.12131,              9.5782,             0.00077,              0.0755,             0.85428,             0.06618,             0.86077,             0.69813,                   3
            0.020647,             0.99246,            0.044433,            0.035608,            0.020733,            0.010139,            0.086168,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.050087,             0.20107,             0.53304,              28.839,            0.022672,              0.8091,              7.7935,          4.9232e-05,            0.031392,              0.1836,             0.49729,             0.76874,             0.10852,                   3
            0.017056,             0.99272,            0.042873,            0.032879,            0.019267,            0.011447,            0.086164,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.048897,           0.0038254,            0.092721,              36.421,             0.89239,             0.72749,              1.3515,          0.00061223,          0.00070963,             0.62309,             0.70568,           0.0059597,             0.25907,                   3
            0.016225,             0.99779,             0.05118,            0.041026,            0.017794,             0.01022,            0.086164,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.051505,             0.80884,             0.52257,              20.872,             0.41257,             0.59901,              6.3553,          0.00035429,             0.27882,             0.41225,             0.76607,             0.39877,             0.40667,                   3
            0.019456,              0.9909,            0.044641,            0.036453,            0.016529,           0.0097955,            0.086004,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.034159,             0.67739,            0.033077,            0.039482,             0.49057,             0.61446,             0.86313,          0.00056765,             0.19697,             0.17055,           0.0084946,             0.20697,             0.32524,                   3
            0.019866,             0.99203,            0.046202,            0.034642,            0.021336,            0.012585,             0.08598,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.024455,             0.51326,             0.82983,              1.5644,             0.72999,             0.35073,              4.2003,          0.00042975,             0.83295,             0.81046,             0.73331,             0.50265,             0.21503,                   3
             0.01495,             0.99431,            0.041745,            0.030367,            0.023778,            0.011359,            0.086164,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.049592,           0.0035016,             0.13555,               6.864,             0.58223,             0.72782,              1.8037,          0.00064145,             0.98227,             0.10469,             0.45028,             0.81265,            0.063042,                   3
             0.01923,             0.99291,            0.046616,            0.037531,            0.017679,            0.010614,            0.086074,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.053855,             0.11956,             0.84435,              36.617,             0.27808,             0.70078,              6.6892,          0.00091731,             0.77204,             0.65545,             0.29238,            0.061675,              0.9023,                   3
            0.021343,             0.99415,            0.049363,            0.038359,            0.018011,            0.010704,             0.08591,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088978,               0.549,             0.71848,              34.522,             0.44244,              0.1273,              5.3025,          0.00052244,             0.43795,              0.5947,             0.22917,             0.22185,             0.56911,                   3
            0.016162,             0.99308,            0.043842,            0.033366,            0.019564,            0.011089,            0.086197,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0011719,             0.46936,             0.40168,              9.0338,             0.54532,             0.86285,              7.6176,          0.00028837,             0.51792,             0.16864,              0.4202,             0.48922,             0.82267,                   3
            0.013576,             0.99765,             0.04282,            0.031312,             0.02234,            0.011918,            0.086159,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.058546,            0.074613,             0.43634,              10.172,             0.86105,             0.53925,              8.4121,          0.00081847,            0.051614,             0.49942,             0.94313,             0.85839,             0.57765,                   3
            0.012902,             0.99284,              0.0441,            0.031725,             0.02235,            0.011976,            0.086159,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.023288,              0.3604,             0.79822,              1.3562,             0.89841,             0.61022,              8.2638,          0.00026591,             0.52189,             0.51128,             0.11982,             0.78305,             0.83617,                   3
            0.013599,             0.99779,            0.049817,            0.037705,              0.0193,            0.011528,            0.085975,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026234,             0.21121,             0.69223,              18.625,             0.80353,            0.086801,              3.1516,          0.00061475,             0.20048,             0.99647,             0.73438,             0.83181,             0.36345,                   3
            0.013928,             0.99534,            0.052759,            0.043077,            0.018149,            0.010501,            0.085961,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.053808,             0.35938,             0.37133,              29.282,             0.40469,              0.1017,              4.2051,          0.00082411,             0.28005,             0.95864,             0.31007,             0.56866,             0.48369,                   3
            0.016222,             0.99646,            0.047257,            0.038451,            0.018967,            0.010118,            0.086159,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.07042,             0.59114,             0.51671,              14.146,             0.67434,             0.05539,              8.5716,          9.4279e-05,             0.16693,              0.5098,             0.50199,              0.1661,             0.70568,                   3
            0.017839,             0.99303,            0.042476,            0.032377,            0.019071,            0.011244,            0.086055,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.046307,             0.48712,            0.095025,              27.483,             0.49557,             0.60496,              4.7857,          0.00029939,             0.84746,             0.58515,             0.47845,             0.17796,              0.9426,                   3
            0.012489,             0.99656,             0.04552,            0.035099,            0.018163,            0.011419,            0.085966,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.071055,             0.84023,             0.18001,               21.24,             0.54089,             0.47922,              4.7189,          0.00042775,             0.17792,             0.92657,            0.038835,             0.93952,             0.83658,                   3
            0.019837,             0.98771,            0.049222,            0.037615,            0.021743,            0.010963,            0.085971,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0024054,             0.14804,             0.43445,              14.791,               0.147,             0.17767,              6.2221,          0.00042498,             0.75591,             0.81612,             0.85688,             0.94913,             0.60472,                   3
            0.013737,             0.99554,            0.043832,            0.033881,            0.019873,            0.010763,            0.086408,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015785,            0.095541,            0.098802,              28.485,             0.49119,              0.7603,              8.2833,          0.00086363,               0.831,              0.3845,             0.86211,             0.27731,             0.68851,                   3
           0.0095488,             0.99196,            0.040981,            0.028434,            0.022749,            0.012435,            0.086201,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.096668,              0.7417,             0.70175,              27.876,             0.37146,             0.87807,             0.83968,          0.00015217,             0.83755,             0.82574,             0.70756,             0.83441,             0.72601,                   3
           0.0062008,             0.99671,            0.036904,            0.023526,            0.026963,            0.015099,            0.086131,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.092007,             0.33936,             0.89599,              18.184,              0.7352,             0.79798,              1.9253,          0.00013935,             0.79553,             0.57377,              0.9411,             0.87133,             0.49887,                   3
            0.014069,             0.99296,             0.04409,            0.032805,            0.021441,            0.011572,            0.086112,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.048719,             0.39835,            0.039068,               25.73,             0.71401,             0.48228,              4.8944,           0.0006707,             0.40371,             0.26249,            0.017842,             0.82698,             0.25152,                   3
            0.017202,             0.99441,            0.046042,            0.035693,            0.018294,            0.010768,            0.086135,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.076412,             0.37094,             0.72623,              30.022,             0.41183,             0.83606,              5.1325,          0.00066948,             0.38435,             0.15792,              0.2728,             0.82337,            0.075993,                   3
            0.021325,             0.99128,            0.045897,            0.035152,            0.021598,            0.011305,            0.085877,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.086985,             0.22819,             0.34445,              2.3642,             0.58885,             0.35436,              5.4807,           0.0006941,             0.21829,             0.90584,             0.56193,             0.94294,             0.18721,                   3
            0.014798,             0.99656,            0.044644,            0.034545,            0.020728,            0.010963,            0.086159,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.064068,            0.012136,            0.054239,              40.909,             0.89431,              0.3256,              8.1073,          8.3869e-05,            0.033496,             0.85986,              0.4226,             0.15359,             0.67583,                   3
            0.024613,             0.99242,            0.054617,            0.045021,             0.01741,           0.0092799,            0.085378,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.052395,           0.0015538,                   0,            0.041844,            0.022503,                   0,             0.02886,               0.001,             0.15905,             0.45973,             0.05867,            0.078482,           0.0004922,                   3
            0.017829,              0.9913,            0.054167,            0.041828,             0.02071,            0.010403,            0.086093,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.065571,             0.21121,             0.69223,              18.557,             0.80353,            0.086801,              3.1516,          0.00061475,             0.28005,             0.98729,             0.40881,             0.60079,             0.52043,                   3
            0.023179,             0.99307,            0.051641,            0.042361,            0.017553,            0.010525,            0.085787,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077171,             0.52401,             0.71848,              34.522,             0.38906,              0.1273,              5.3265,               0.001,                   0,                   0,                   0,            0.021772,                   0,                   3
            0.023665,             0.99421,            0.050127,            0.040878,            0.018384,           0.0095304,            0.085867,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.097562,             0.63688,             0.53932,               23.69,              0.4126,             0.22117,              6.9987,               0.001,             0.19375,             0.45973,                   0,            0.038084,           0.0004922,                   3
            0.023485,             0.99411,            0.057613,            0.045832,            0.017314,           0.0098902,            0.085124,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.052395,           0.0015538,                   0,            0.041844,                   0,            0.090981,                   0,                   0,             0.16913,             0.45973,                   0,                   0,            0.055741,                   3
            0.025253,             0.98989,             0.05737,            0.047145,            0.019486,             0.01229,            0.085444,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.055711,          5.0606e-05,            0.031236,            0.083172,                   0,            0.053259,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
            0.012664,             0.99892,            0.048234,            0.038569,            0.018621,            0.011128,            0.085947,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057309,             0.76489,              0.1984,              27.845,              0.5652,             0.12131,              9.5411,             0.00077,            0.038929,             0.85428,              0.1597,             0.86077,             0.69813,                   3
            0.024671,             0.99629,            0.056507,            0.047739,            0.016568,           0.0089518,            0.085091,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0069535,             0.57305,             0.59339,              23.852,           0.0069154,            0.064301,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073864,                   3
            0.025866,             0.99313,            0.053979,            0.044785,            0.017978,            0.010441,            0.085326,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,            0.095213,            0.090907,                   0,                   0,                   0,                   0,                   0,                   0,            0.054422,                   0,                   0,                   0,                   3
